Violation_ID,Timestamp,Location,Violation_Type,Vehicle_Type,Severity,Fine_Amount
f4402c29-a771-41fd-9aa9-df5e9e1f64c4,2025-05-20 23:01:30,"76.569249,97.654003",Parking,Bike,High,880.0
8e395d76-23f6-49d4-953a-6e3b40061373,2025-11-01 01:23:05,"85.040552,63.620177",Red Light,Car,Medium,1254.0
e4704927-edc1-4824-bc66-7d5501168784,2025-06-21 22:42:49,"-43.8881345,12.517002",Speeding,Bike,Low,1952.0
6426299e-55a2-421b-ad13-4eba60dbc3c0,2025-10-26 05:09:33,"22.158645,137.495920",Speeding,Bus,Medium,1922.0
0ad44cf7-929a-4434-8d25-d2cdc411ce5d,2025-02-20 22:27:57,"-37.3934365,-71.707927",Seat Belt,Auto,Low,1598.0
62ab56bb-194c-4c9f-89de-d77701d25fb6,2025-05-09 06:52:57,"62.309233,142.759133",No Helmet,Truck,Medium,481.0
d7c3feda-9fe7-49aa-8089-4da7011ea9bc,2025-02-18 09:48:25,"12.759324,-56.826873",No Helmet,Auto,Low,563.0
0d063287-74ff-45d9-a59b-17f5883b1000,2025-03-14 09:28:03,"20.6674545,127.951876",Seat Belt,Car,Medium,313.0
a40e523f-f547-42a8-a608-86ac9bc93475,2025-05-10 02:07:16,"-41.1925485,-101.967372",Seat Belt,Auto,Medium,1129.0
7a462918-a30a-492f-b501-4d265c8bb449,2025-04-17 11:48:10,"-73.610483,38.519893",Seat Belt,Truck,Low,952.0
86915c09-806b-4692-95fe-d0579e531013,2025-02-20 01:20:04,"1.702620,-175.287810",Red Light,Auto,High,161.0
da27de97-4547-4a31-9b53-71e3af0bf10b,2025-01-10 07:32:21,"30.1298695,168.640946",Red Light,Auto,Low,601.0
8641a4c3-ae49-40e1-94e9-a6aaa391cd5c,2025-07-03 18:06:22,"-25.1167115,162.320557",,Car,High,839.0
69acae3c-e712-41fb-bc34-43d1d0666cfe,2025-05-29 19:05:01,"61.8445745,151.100398",Speeding,Car,Medium,1091.0
a7bdfbc5-b2ca-4e88-b365-84495d7ebd07,2025-08-07 12:53:59,"-15.5777335,-36.931271",Red Light,Bus,Medium,1798.0
2c1d422b-aeee-4b60-a027-ca10c056b4f7,2025-07-23 20:50:56,"79.155485,-106.009278",No Helmet,Car,High,691.0
49e0a65a-2053-488b-8e30-4aefaee04087,2025-03-18 15:07:33,"-65.5283315,55.017285",Seat Belt,Bus,High,995.0
a3f8ec70-ebae-4828-a2ed-7b122c5cf294,2025-03-15 19:27:16,"26.2102015,-179.952841",Red Light,Car,High,120.0
24316438-21c9-4890-94d2-93ce537447cb,2025-02-20 01:17:13,"28.137927,-21.536061",Seat Belt,Bus,High,1332.0
39e61851-52f6-44cd-a39a-3201afcdc5ce,2025-11-10 01:01:40,"-54.2756565,-40.488317",Parking,Truck,High,886.0
51a96059-3c8a-47ba-91e6-51d1a368ffb2,2025-02-22 11:57:36,"11.7205795,172.609594",No Helmet,Bus,High,1231.0
8fba7d91-52a2-4194-9185-18680309a9d6,2025-02-04 23:44:10,"37.363179,-44.967490",Seat Belt,Bike,Low,683.0
6a82d3cc-78e2-42a4-8da5-fe83c67fb163,2025-05-16 12:41:50,"-34.168084,73.370924",Parking,Car,Medium,1840.0
db1f8cae-fd98-45c3-aa30-8d8fbf6bc922,2025-06-29 02:59:09,"43.424588,13.193469",Speeding,Bus,Low,360.0
34fbed03-d24b-41a0-86ca-c1a65a396c61,2025-11-11 16:11:50,"-80.704213,172.073569",Seat Belt,Truck,Low,167.0
43511a66-8737-427e-8a22-117c4ac3d022,2025-03-29 06:17:30,"-4.847984,109.708643",Red Light,Auto,High,116.0
adb47773-9fd5-461f-b9a9-e92447545d2a,2025-02-11 14:50:33,"16.5309605,28.165932",Seat Belt,Bike,Low,1771.0
9baf54a1-8de2-41c3-aa3a-97a1e2c149b4,2025-08-09 23:16:01,"40.1977035,121.373011",Parking,Auto,High,408.0
519fdf48-db2f-43fc-8627-2c84dd107814,2025-04-11 16:12:39,"68.735659,132.959911",Red Light,Auto,Low,929.0
162fc918-e379-49c3-9f73-ee3a7bfa47a0,2025-09-07 19:20:06,"-20.8805805,-37.249650",No Helmet,Car,Low,930.0
10fe7028-c2b1-4509-878d-a1c63a4cef72,2025-02-24 02:24:33,"-3.897893,126.473296",Speeding,Bike,Medium,1747.0
02d188ce-10ca-41f1-bdcb-e3429751171a,2025-02-23 17:55:51,"-68.4749515,-79.152981",Parking,Car,Medium,792.0
d570304e-868f-4a3e-b3cc-77632d7ec0c4,2025-02-22 18:31:12,"-69.605852,-53.064307",No Helmet,Bus,High,1509.0
b944c0c1-0a0a-48f1-9c64-1480fa05ef44,2025-03-13 09:33:19,"-78.005058,-163.614806",Red Light,Bike,High,1202.0
b454ff09-7de2-489e-9225-ff2da128d4c6,2025-01-31 11:18:56,"-88.2452015,-156.872267",Parking,Car,Low,1447.0
a56ca2a6-6fa3-4d12-8480-7e684e5f9c92,2025-06-21 09:11:37,"-32.4999455,-98.905871",No Helmet,Bike,Medium,382.0
ccaf145c-971a-49fd-a580-413915b602f4,2025-10-17 20:48:29,"84.329527,-162.751388",No Helmet,Bike,High,955.0
