Violation_ID,Timestamp,Location,Violation_Type,Vehicle_Type,Severity,Fine_Amount
672b8e12-919e-42ac-a8d5-d2d6137387b9,2025-02-17 06:23:23,"13.707628,-122.850096",Speeding,Truck,High,927.0
717cb3d6-dbb9-48ae-b983-9f49384516bc,2025-04-29 19:09:38,"-86.5668155,-14.451815",Seat Belt,Truck,Medium,404.0
8dbeb8b7-2c8c-4a2f-b715-4c4f28a01b66,2025-05-24 18:13:48,"-21.7451965,-76.433178",Speeding,Truck,High,638.0
987d9e02-f09b-4426-9897-058b1ec238ff,2025-05-15 12:51:46,"-64.904979,77.693533",Red Light,Car,Low,1719.0
1598db51-b87e-493e-8c39-9a1e9ce14fae,2025-04-29 09:45:15,"-15.2270935,18.408535",Red Light,Car,High,1809.0
4a149b16-c7f8-4f59-9856-91a400491631,2025-05-19 15:51:11,"17.734179,136.652277",No Helmet,Auto,Medium,504.0
c6844fdf-0761-4520-9b68-20d95b418988,2025-03-06 22:11:26,"74.5903755,61.463343",Parking,Truck,Low,1406.0
4a815e16-ca5d-4a01-9389-e8202a805088,2025-08-13 09:02:15,"-22.840431,-34.354953",No Helmet,Bus,Medium,1509.0
47fff4e7-8d72-414e-b53d-0e85f2baf36d,2025-09-13 02:32:32,"73.078759,120.415192",Speeding,Bike,Low,861.0
e6e89a10-06a0-4a46-bca6-43997e55247d,2025-02-18 12:56:51,"9.9511305,92.160068",No Helmet,Auto,High,971.0
a3105bb6-bd0e-4ff4-a422-11d55b34d96d,2025-08-01 15:28:40,"-22.414633,-121.412270",Red Light,Truck,High,1268.0
a2178c3b-9e36-42c7-9ba4-f6498bf94e96,2025-04-21 05:19:56,"-70.0236145,79.224206",Red Light,Bike,High,971.0
0713cb7d-7ca9-485f-9e89-862ac7c2216c,2025-08-11 19:53:59,"-57.1913395,32.693694",No Helmet,Car,High,570.0
c5dfef11-1e2a-429a-99ad-a7b6ed260d32,2025-08-16 00:02:12,"-5.1819925,94.845713",Red Light,Bike,Medium,781.0
80765f12-adf3-4fdd-a111-fab9ae97c5d5,2025-07-31 18:55:20,"-61.681798,25.769880",Speeding,Car,Medium,1290.0
1515545c-d273-4ab7-9215-1f98d2e44d0f,2025-08-29 07:05:35,"-9.7933525,-104.121738",No Helmet,Bike,Medium,1517.0
1214e0df-f7cf-4ba5-ba5b-463b86e1338a,2025-09-16 21:23:42,"76.6389875,73.266127",Seat Belt,Bus,Low,616.0
e6bc035d-2d3f-4c5e-9211-d1ed12d46c1a,32/13/2025,"-15.302056,71.271189",Red Light,Bus,Low,1345.0
fe3ccb7c-44dd-46e4-be00-c836e6561c57,32/13/2025,"-36.0540475,-177.737509",Speeding,Car,Low,272.0
31940bf5-e512-46a9-922d-f21cf4ace768,2025-07-07 07:28:32,"-63.4325055,-134.921044",Seat Belt,Truck,High,497.0
b649330f-7bca-46ee-9588-e382e634c430,2025-05-27 02:52:48,"54.314961,30.469611",Speeding,Car,Medium,1626.0
1c60012d-43f2-4b75-be7f-b57f9642c294,2025-09-26 13:37:46,"-24.0378665,-43.016052",Parking,Bike,Low,958.0
9f175057-c072-41fc-a19b-f491db379d49,2025-02-19 19:35:56,"76.7894815,-100.935901",Seat Belt,Auto,High,538.0
3cca2082-fe8f-4beb-88b2-5416896e09e5,2025-10-31 09:09:02,"39.6744195,65.648906",Parking,Auto,High,1943.0
a7e741c9-a15b-4a48-b7df-a19e203dc56a,2025-10-29 11:33:29,"-60.854861,-66.073057",Red Light,Car,Low,1258.0
11649d8d-908e-4edd-b582-c66ad654c9a4,2025-03-27 19:37:34,"-3.0701125,-29.449248",Parking,Bike,Low,1044.0
1c8dcec7-ebbe-416b-b282-7e166b3e9338,2025-05-24 21:04:15,"-86.971528,-137.960756",Red Light,Truck,Medium,1126.0
302afd8b-ac1b-4c44-88c7-9abd9391a0e6,2025-06-08 20:16:10,"61.5953605,-62.064125",Red Light,Car,Low,1456.0
9804eb05-152a-4f8c-83b8-a1fab43d50c0,2025-07-22 14:00:41,"-23.8897815,53.108599",Speeding,Auto,Medium,1624.0
53292d41-98de-4e44-8e31-f30ca7a25af9,32/13/2025,"-73.046205,101.303304",Seat Belt,Bus,Low,1095.0
0958560f-90e5-4063-bc1b-91044f2212f3,2025-10-31 07:41:47,"-55.482281,-175.649855",Speeding,Auto,Medium,390.0
a3171703-65ff-47ff-93f6-f0d7da0102ac,2025-08-10 16:43:34,"46.993267,145.973949",Seat Belt,Bike,Medium,307.0
69359e03-145d-4055-9538-17d7364a2b74,2025-11-21 06:01:14,"70.5014035,114.925381",Speeding,Bus,High,366.0
6a960c2b-b46b-4073-9e39-b477e052c561,2025-10-11 22:20:46,"76.774666,-24.208046",Speeding,Truck,Low,1803.0
