Violation_ID,Timestamp,Location,Violation_Type,Vehicle_Type,Severity,Fine_Amount
67a985f5-ac0d-4d1d-9b78-50686805362f,2025-10-20 11:21:01,"-40.717166,-108.001914",Parking,Car,Low,491.0
7120de19-5b73-4e4c-a354-c01e5a6a170f,2025-07-19 23:52:43,"31.574582,79.162177",Red Light,Truck,Low,105.0
f97299cc-467e-4565-9f8c-edcabd701f83,2025-05-08 00:25:37,"-52.0210065,15.915356",Parking,Bike,Low,197.0
c7b6fcc6-7acf-40b5-a8ee-230988e0b631,2025-01-24 07:53:33,"-39.2103125,-85.519425",No Helmet,Auto,Medium,368.0
f25d4b02-6789-4523-8270-fe8bb17f995d,2025-04-17 10:36:13,"63.225819,-29.380822",Parking,Bike,High,1063.0
7a0a5932-cd26-44c3-8b74-1baa9954d1e2,2025-04-04 03:35:05,"-32.391296,-86.104588",No Helmet,Truck,High,1415.0
feb75702-1bd7-4c96-9f83-a189cb351c5b,2025-08-24 01:32:26,"-70.4498425,72.464849",Red Light,Car,Low,1302.0
a93ccc31-2ab2-4aa6-9dfd-ef2923fb7e91,2025-06-28 05:28:40,"54.752359,106.879592",Speeding,Bus,Medium,1888.0
cfeed587-1e43-4294-86ba-1a9a890bbfe3,32/13/2025,"16.792400,-71.886969",No Helmet,Car,Medium,689.0
52f0a90a-0c82-4b22-8d30-7982f81472e0,2025-02-10 12:35:15,"36.478446,55.597979",Speeding,Car,High,1721.0
fc65a111-884b-4250-84b5-ea5e4b3ec995,2025-05-22 03:52:36,"-62.8245185,86.588208",Red Light,Car,High,947.0
b09393ea-f623-4e96-93dd-6e559c3dfe8c,2025-04-24 14:33:13,"35.588580,34.021775",No Helmet,Car,Low,889.0
30102d1e-f6b0-4aa5-95d2-a0cba4271386,2025-07-27 03:26:01,"39.5619875,48.302559",Red Light,Car,High,1077.0
82333e24-5343-4afb-833f-5dd2e7fafee2,2025-06-12 00:42:19,"-0.129966,100.079773",No Helmet,Car,Medium,199.0
32573f20-9284-475c-8ec7-35c966fb4f66,2025-03-13 00:08:58,"47.9885995,-17.324986",Red Light,Car,Low,698.0
babbe6a7-152f-4a99-a26b-7fd677016814,2025-03-04 04:09:45,"-12.286025,-77.376249",Parking,Bike,Low,177.0
cbc4a762-033d-4a6c-a7d3-2f4e4dd4f201,2025-07-01 12:52:11,"12.216998,122.050906",Seat Belt,Bike,Low,1010.0
52f86809-4e03-4327-8893-f4e54f99ff20,2025-02-09 01:29:51,"53.094460,-6.793883",Red Light,Car,High,1349.0
86611a4e-aa7b-443a-8ff2-ed15a504a315,2025-06-25 17:17:41,"-9.090958,-20.595330",Red Light,Car,High,1196.0
6b581d0e-020c-4afd-9565-d5c43429e5d8,2025-10-25 18:51:06,"15.5412755,-94.708351",No Helmet,Car,Medium,1134.0
bb09ae1a-ca64-4556-bd24-f9ae470b6677,2025-04-13 01:05:10,"26.3347605,-64.419992",No Helmet,Car,Medium,1466.0
aa66608f-1fd0-4b31-b227-dc3de417362c,2025-06-04 23:38:16,"82.857376,-127.442023",No Helmet,Auto,High,828.0
deabd950-a439-4aae-9843-7ecf5fa77915,2025-06-08 19:13:13,"5.033569,-46.744152",Speeding,Bike,Low,1972.0
f797bf53-a8bd-4bf6-8304-e1c648a72239,2025-07-12 22:13:53,"58.8018325,-82.477436",Speeding,Bus,Low,1366.0
78abdc53-bf17-45f1-8597-d70766da4f66,2025-04-15 06:08:41,"5.1863305,-1.251464",Speeding,Auto,Medium,296.0
9eec3efd-66d8-4fbf-bd87-9f1840521b1d,2025-02-19 00:07:54,"-55.4782635,112.401662",No Helmet,Bus,High,1210.0
ccae2363-f218-493a-9bd4-c76b148d5372,2025-08-13 14:31:41,"-12.3499455,86.867387",Red Light,Bike,Low,1272.0
6b4baae0-87a2-41cc-b100-7c5f51f879e1,2025-08-14 22:36:50,"64.9025525,-142.157760",Parking,Bike,Medium,1027.0
380183a1-63be-4eb2-91e0-e544303f4234,2025-01-15 10:17:46,"63.5571605,-32.989883",No Helmet,Truck,Low,155.0
8179f8ac-a6cb-4dca-b97a-5a79f64be144,2025-04-04 01:16:14,"-8.9953035,-42.940727",Red Light,Bus,Low,1419.0
476b648f-d232-431d-a24f-efd87f504c69,2025-02-27 11:32:00,"-23.991716,-167.772185",,Bus,Medium,1382.0
7b57832e-69f8-428c-b12f-bb07f8825d30,2025-09-22 00:10:09,"83.780188,27.907774",Red Light,Bus,Low,812.0
b2dbb90f-0a25-4398-aac9-7dac0dfef467,2025-10-03 23:52:53,"23.0050815,83.807466",No Helmet,Auto,Medium,1923.0
a71afce3-6629-46bd-8d46-b559074a7ffa,2025-07-20 01:25:07,"-30.328984,20.949521",Parking,Auto,High,1717.0
c83b2739-a6b0-4fbe-bc3a-ac010ccd5bd7,32/13/2025,"-57.8693295,31.238775",Speeding,Car,Medium,482.0
