Violation_ID,Timestamp,Location,Violation_Type,Vehicle_Type,Severity,Fine_Amount
4b16fc6f-f47f-4579-a86d-bdef72391cd8,2025-10-06 17:42:20,"28.599760,150.298834",No Helmet,Bike,Low,abc
67a985f5-ac0d-4d1d-9b78-50686805362f,2025-10-20 11:21:01,"-40.717166,-108.001914",Parking,Car,Low,491
4b708507-27af-42b1-893a-062382a0767a,2025-05-12 19:29:22,"-24.3356845,94.363056",Seat Belt,Auto,Low,abc
d56c6cae-236a-485c-850f-a2bc948df2d9,2025-03-04 20:10:23,"-9.934912,167.475797",No Helmet,Bus,Low,
7120de19-5b73-4e4c-a354-c01e5a6a170f,2025-07-19 23:52:43,"31.574582,79.162177",Red Light,Truck,Low,105
f97299cc-467e-4565-9f8c-edcabd701f83,2025-05-08 00:25:37,"-52.0210065,15.915356",Parking,Bike,Low,197
c7b6fcc6-7acf-40b5-a8ee-230988e0b631,2025-01-24 07:53:33,"-39.2103125,-85.519425",No Helmet,Auto,Medium,368
f25d4b02-6789-4523-8270-fe8bb17f995d,2025-04-17 10:36:13,"63.225819,-29.380822",Parking,Bike,High,1063
7f935108-02b0-45f1-89bb-64908d707d03,2025-06-26 10:45:50,"-58.6246255,-129.158305",Parking,Car,Medium,abc
7a0a5932-cd26-44c3-8b74-1baa9954d1e2,2025-04-04 03:35:05,"-32.391296,-86.104588",No Helmet,Truck,High,1415
feb75702-1bd7-4c96-9f83-a189cb351c5b,2025-08-24 01:32:26,"-70.4498425,72.464849",Red Light,Car,Low,1302
4874c5e3-2b26-4422-9b23-c89ad41395e5,2025-02-18 07:07:09,"-70.1921585,83.739266",Seat Belt,Bike,Medium,
6d8f3960-439e-4223-a9f1-68ce9d143b70,2025-02-27 14:24:07,"10.6454325,136.717983",Red Light,Bike,Medium,
bf370e37-bac9-43f2-b23c-155825680b58,2025-09-27 15:39:45,"-25.8728995,160.193332",Parking,Bus,Medium,
7c31b3a3-5166-4fea-ae25-ad5d5d1b7942,2025-09-13 00:33:56,"-46.488439,3.420160",,Truck,Medium,
f99dc79a-0a75-40f7-9cc0-540dada96bf7,2025-05-22 04:40:08,"-74.383150,-165.182923",No Helmet,Car,Medium,
a93ccc31-2ab2-4aa6-9dfd-ef2923fb7e91,2025-06-28 05:28:40,"54.752359,106.879592",Speeding,Bus,Medium,1888
a467faf0-8a0e-428f-9e1e-d7929b0d23d5,2025-06-08 17:07:04,"-39.442560,-100.328636",Speeding,Truck,High,abc
3f765907-80cf-473c-aa42-51d79704d3c9,2025-04-17 10:03:45,"27.123886,-114.333344",Seat Belt,Car,Low,
f4019dc9-6ed8-4ff0-9b4a-252bcfb3fd21,2025-05-22 05:57:51,"-66.562210,-16.797691",Red Light,Auto,High,
1d299fc5-c840-4038-8fd6-49c17a4b76d7,32/13/2025,"67.930388,-3.976612",No Helmet,Bus,Low,
3b562291-ed8c-4edb-9a40-d22a1ad588cb,2025-05-19 01:18:20,"85.1039075,129.287208",No Helmet,Truck,Medium,abc
13c5b8b6-11a9-47f7-8201-19985902a332,2025-09-17 08:44:44,"-23.288862,-86.200463",,Car,High,abc
cfeed587-1e43-4294-86ba-1a9a890bbfe3,32/13/2025,"16.792400,-71.886969",No Helmet,Car,Medium,689
52f0a90a-0c82-4b22-8d30-7982f81472e0,2025-02-10 12:35:15,"36.478446,55.597979",Speeding,Car,High,1721
891d91f1-b05d-4bcf-9c47-18b87bebca24,2025-03-31 04:09:32,"-67.385992,-116.336438",Red Light,Car,Low,abc
4af8ac94-517b-4ef2-8191-19d3c34c4732,2025-09-16 03:43:06,"-9.9328925,-13.799244",No Helmet,Car,Medium,abc
cbe5972b-6908-4c6d-a8f5-e4106f507684,2025-03-15 09:36:16,"21.3180055,55.768541",Seat Belt,Car,High,abc
f73e994a-7336-4568-9613-b64044c0cf9f,2025-06-11 22:06:53,"31.252685,-44.325252",No Helmet,Auto,Medium,
4be78b63-ff4c-442e-ad90-01ece187c77b,2025-10-14 11:50:28,"-86.0197845,-29.628382",Seat Belt,Bus,Low,abc
a1dc3e6f-c95e-4d53-8eea-1adb91a96528,2025-06-14 21:42:12,"49.4336115,67.847300",Speeding,Bike,High,abc
fc65a111-884b-4250-84b5-ea5e4b3ec995,2025-05-22 03:52:36,"-62.8245185,86.588208",Red Light,Car,High,947
b09393ea-f623-4e96-93dd-6e559c3dfe8c,2025-04-24 14:33:13,"35.588580,34.021775",No Helmet,Car,Low,889
577eb76d-664b-4a3a-88c9-6a677494aa97,2025-07-22 02:39:00,"69.371387,-50.095239",Speeding,Bike,Low,
49aef383-e1c0-4559-8b83-f8a74a04a604,2025-08-04 23:11:16,"-59.994160,-46.180025",Red Light,Car,Medium,abc
a5e7086b-1673-459d-837d-2c3a71c4e539,2025-06-12 22:22:55,"88.7838665,-144.257571",,Bike,High,
30102d1e-f6b0-4aa5-95d2-a0cba4271386,2025-07-27 03:26:01,"39.5619875,48.302559",Red Light,Car,High,1077
64f504d8-1748-4dfd-8d20-48a1159f1a42,2025-07-30 08:58:14,"79.229077,2.176137",Red Light,Truck,High,
77243651-3094-48ed-b4f9-29abaf07dbb8,2025-08-15 02:08:46,"88.0299255,22.368410",Speeding,Bus,Medium,abc
82333e24-5343-4afb-833f-5dd2e7fafee2,2025-06-12 00:42:19,"-0.129966,100.079773",No Helmet,Car,Medium,199
5c58f936-fd3c-445b-8d35-95c72cca8c08,2025-03-30 16:55:17,"87.873550,-15.942343",Parking,Bike,High,
810a76ea-c8e0-46de-ad0b-60ef0c68c485,2025-02-25 03:30:38,"-81.176849,157.575180",Parking,Truck,Low,abc
32573f20-9284-475c-8ec7-35c966fb4f66,2025-03-13 00:08:58,"47.9885995,-17.324986",Red Light,Car,Low,698
babbe6a7-152f-4a99-a26b-7fd677016814,2025-03-04 04:09:45,"-12.286025,-77.376249",Parking,Bike,Low,177
51ba327f-8e2b-4422-abfd-878455cf636a,2025-07-05 13:30:51,"50.8283795,176.921394",Speeding,Truck,Low,
1efc856b-bdf9-41eb-9d3a-80d1481d4321,2025-04-12 11:41:20,"-46.231472,-40.790536",No Helmet,Bus,Medium,
d0cab0d0-b243-4e02-8ab8-71e9cba3d28e,2025-09-12 05:42:36,"80.992461,98.201826",No Helmet,Bus,Medium,abc
cbc4a762-033d-4a6c-a7d3-2f4e4dd4f201,2025-07-01 12:52:11,"12.216998,122.050906",Seat Belt,Bike,Low,1010
52f86809-4e03-4327-8893-f4e54f99ff20,2025-02-09 01:29:51,"53.094460,-6.793883",Red Light,Car,High,1349
86611a4e-aa7b-443a-8ff2-ed15a504a315,2025-06-25 17:17:41,"-9.090958,-20.595330",Red Light,Car,High,1196
6b581d0e-020c-4afd-9565-d5c43429e5d8,2025-10-25 18:51:06,"15.5412755,-94.708351",No Helmet,Car,Medium,1134
bb09ae1a-ca64-4556-bd24-f9ae470b6677,2025-04-13 01:05:10,"26.3347605,-64.419992",No Helmet,Car,Medium,1466
52fa6e8b-784a-4f02-ac25-fefa0a48f29f,32/13/2025,"-53.8342225,-117.077561",Red Light,Auto,Low,abc
14fb9650-8638-4173-bbe9-13fce886b74a,2025-05-29 22:19:47,"-51.609109,97.307748",No Helmet,Car,Medium,abc
33fc5334-6159-442b-91be-579e030d97bb,2025-03-19 01:31:41,"32.1757535,55.178382",Red Light,Truck,High,abc
d9717864-cbc0-452d-b18b-5393f27e74ae,2025-02-02 13:43:16,"-40.0017375,-142.892370",No Helmet,Auto,Low,
aa66608f-1fd0-4b31-b227-dc3de417362c,2025-06-04 23:38:16,"82.857376,-127.442023",No Helmet,Auto,High,828
