Location,Total_Violations
"-21.7251495,175.298833",1
"48.3648235,-89.285424",1
"-54.7409465,-93.236654",1
"-19.1346145,153.213007",1
"-74.1680985,-53.681275",1
"64.6508295,-63.015866",1
"-63.144552,-2.366401",1
"22.1526135,-101.448636",1
"-38.218789,145.422860",1
"-36.2204245,38.257586",1
"5.7665115,174.321997",1
"-37.773468,25.837903",1
"-17.854496,-98.294246",1
"47.8285625,-123.611841",1
"-47.284268,-10.043374",1
"-51.4856675,22.175974",1
"-59.2528255,101.577941",1
"35.9153605,4.465087",1
"-28.560027,135.927869",1
"-25.2384955,-34.007459",1
"-88.9187955,36.810277",1
"-30.4753835,-178.897024",1
"-49.4056015,-66.632747",1
"34.4822225,119.357450",1
"52.766810,92.169984",1
"11.4986865,-46.377184",1
"16.187443,-148.131452",1
"-86.5562535,53.622288",1
"-8.4100085,-125.427106",1
"-15.8350875,59.592193",1
"-13.2352455,99.514348",1
"23.6831355,123.445395",1
"-26.110182,-78.051574",1
"-83.358300,179.252221",1
"27.9040455,-105.722453",1
