Location,Total_Violations
"-12.649104,-16.461645",1
"-2.1083635,-45.979230",1
"35.066247,87.836132",1
"-66.3731375,-61.359428",1
"-66.5875005,70.847124",1
"-36.8553975,-4.296093",1
"-84.5570395,-133.148608",1
"73.815508,-142.995878",1
"-71.824412,1.550123",1
"44.430554,-37.420768",1
"66.185604,-92.514382",1
"-24.781049,78.609947",1
"-14.4536405,118.645527",1
"13.417224,-33.133236",1
"73.901398,-36.595690",1
"-57.1167695,-155.797037",1
"-33.6241535,-171.359470",1
"-33.586482,171.988423",1
"-15.7578135,51.961485",1
"-75.1934115,-161.818084",1
"-56.781653,3.575604",1
"4.846968,-25.012246",1
"61.1687355,133.260547",1
"-34.186940,-41.362644",1
"-14.9097965,-42.320567",1
"13.439523,7.781948",1
"-79.896909,-3.771083",1
"16.2391765,-36.055570",1
"-81.5064325,-149.977421",1
"-20.1332955,89.940137",1
"-43.5336765,-161.699263",1
"86.760455,99.715685",1
"-16.703050,-159.983288",1
"-34.387688,-1.263663",1
"40.1537095,-65.566350",1
"78.9928755,-74.463227",1
"52.555572,160.243390",1
"21.0162345,19.866444",1
