Location,Total_Violations
"-30.328984,20.949521",1
"39.5619875,48.302559",1
"31.574582,79.162177",1
"-12.286025,-77.376249",1
"12.216998,122.050906",1
"-23.991716,-167.772185",1
"-39.2103125,-85.519425",1
"-55.4782635,112.401662",1
"35.588580,34.021775",1
"53.094460,-6.793883",1
"58.8018325,-82.477436",1
"26.3347605,-64.419992",1
"36.478446,55.597979",1
"23.0050815,83.807466",1
"5.1863305,-1.251464",1
"-70.4498425,72.464849",1
"83.780188,27.907774",1
"5.033569,-46.744152",1
"15.5412755,-94.708351",1
"63.5571605,-32.989883",1
"64.9025525,-142.157760",1
"-0.129966,100.079773",1
"63.225819,-29.380822",1
"82.857376,-127.442023",1
"-40.717166,-108.001914",1
"-9.090958,-20.595330",1
"-32.391296,-86.104588",1
"-52.0210065,15.915356",1
"-8.9953035,-42.940727",1
"-12.3499455,86.867387",1
"54.752359,106.879592",1
"47.9885995,-17.324986",1
"-62.8245185,86.588208",1
